parentGeographicTypeId,temporalTypeId,temporal,temporalDescription,temporalColumnName,temporalRollingColumnName,temporalId,minimumTemporal,minimumTemporalId,parentTemporalTypeId,parentTemporalType,parentTemporal,parentTemporalId,parentMinimumTemporalId,parentMinimumTemporal,year,dataValue,descriptiveValue,descriptiveValueName,includeDescriptiveValueName,COUNT,OBJECTID,FIPS,COUNTY,NAME
1,1,2020,Single Year,ReportYear,RollingYearCount,2020,,,,,,,,,2020,0.026,,,,0.026,105482,55015,Calumet,Calumet
1,1,2010,Single Year,ReportYear,RollingYearCount,2010,,,,,,,,,2010,0.379,,,,0.379,69473,55017,Chippewa,Chippewa
1,1,2014,Single Year,ReportYear,RollingYearCount,2014,,,,,,,,,2014,0.567,,,,0.567,90578,55017,Chippewa,Chippewa
1,1,2016,Single Year,ReportYear,RollingYearCount,2016,,,,,,,,,2016,0.469,,,,0.469,114240,55017,Chippewa,Chippewa
1,1,2018,Single Year,ReportYear,RollingYearCount,2018,,,,,,,,,2018,0.454,,,,0.454,85562,55017,Chippewa,Chippewa
1,1,2020,Single Year,ReportYear,RollingYearCount,2020,,,,,,,,,2020,0.295,,,,0.295,20620,55017,Chippewa,Chippewa
1,1,2010,Single Year,ReportYear,RollingYearCount,2010,,,,,,,,,2010,0.680,,,,0.68,69533,55019,Clark,Clark
1,1,2014,Single Year,ReportYear,RollingYearCount,2014,,,,,,,,,2014,0.780,,,,0.78,90638,55019,Clark,Clark
1,1,2016,Single Year,ReportYear,RollingYearCount,2016,,,,,,,,,2016,0.828,,,,0.828,109181,55019,Clark,Clark
1,1,2018,Single Year,ReportYear,RollingYearCount,2018,,,,,,,,,2018,0.770,,,,0.77,145987,55019,Clark,Clark
1,1,2020,Single Year,ReportYear,RollingYearCount,2020,,,,,,,,,2020,0.754,,,,0.754,20680,55019,Clark,Clark
1,1,2010,Single Year,ReportYear,RollingYearCount,2010,,,,,,,,,2010,0.235,,,,0.235,69593,55021,Columbia,Columbia
1,1,2014,Single Year,ReportYear,RollingYearCount,2014,,,,,,,,,2014,0.263,,,,0.263,90698,55021,Columbia,Columbia
1,1,2016,Single Year,ReportYear,RollingYearCount,2016,,,,,,,,,2016,0.256,,,,0.256,114300,55021,Columbia,Columbia
1,1,2018,Single Year,ReportYear,RollingYearCount,2018,,,,,,,,,2018,0.334,,,,0.334,85622,55021,Columbia,Columbia
1,1,2020,Single Year,ReportYear,RollingYearCount,2020,,,,,,,,,2020,0.251,,,,0.251,20740,55021,Columbia,Columbia
1,1,2010,Single Year,ReportYear,RollingYearCount,2010,,,,,,,,,2010,0.805,,,,0.805,69653,55023,Crawford,Crawford
1,1,2014,Single Year,ReportYear,RollingYearCount,2014,,,,,,,,,2014,0.833,,,,0.833,90758,55023,Crawford,Crawford
1,1,2016,Single Year,ReportYear,RollingYearCount,2016,,,,,,,,,2016,0.823,,,,0.823,92110,55023,Crawford,Crawford
1,1,2018,Single Year,ReportYear,RollingYearCount,2018,,,,,,,,,2018,0.752,,,,0.752,65625,55023,Crawford,Crawford
1,1,2020,Single Year,ReportYear,RollingYearCount,2020,,,,,,,,,2020,0.750,,,,0.75,17620,55023,Crawford,Crawford
1,1,2010,Single Year,ReportYear,RollingYearCount,2010,,,,,,,,,2010,0.680,,,,0.68,69713,55025,Dane,Dane
1,1,2014,Single Year,ReportYear,RollingYearCount,2014,,,,,,,,,2014,0.726,,,,0.726,90818,55025,Dane,Dane
1,1,2016,Single Year,ReportYear,RollingYearCount,2016,,,,,,,,,2016,0.726,,,,0.726,109241,55025,Dane,Dane
1,1,2018,Single Year,ReportYear,RollingYearCount,2018,,,,,,,,,2018,0.655,,,,0.655,63356,55025,Dane,Dane
1,1,2020,Single Year,ReportYear,RollingYearCount,2020,,,,,,,,,2020,0.671,,,,0.671,17680,55025,Dane,Dane
1,1,2010,Single Year,ReportYear,RollingYearCount,2010,,,,,,,,,2010,0.462,,,,0.462,69773,55027,Dodge,Dodge
1,1,2014,Single Year,ReportYear,RollingYearCount,2014,,,,,,,,,2014,0.421,,,,0.421,26592,55027,Dodge,Dodge
1,1,2016,Single Year,ReportYear,RollingYearCount,2016,,,,,,,,,2016,0.471,,,,0.471,92170,55027,Dodge,Dodge
1,1,2018,Single Year,ReportYear,RollingYearCount,2018,,,,,,,,,2018,0.472,,,,0.472,65685,55027,Dodge,Dodge
1,1,2020,Single Year,ReportYear,RollingYearCount,2020,,,,,,,,,2020,0.454,,,,0.454,17740,55027,Dodge,Dodge
1,1,2010,Single Year,ReportYear,RollingYearCount,2010,,,,,,,,,2010,0.098,,,,0.098,69833,55029,Door,Door
1,1,2014,Single Year,ReportYear,RollingYearCount,2014,,,,,,,,,2014,0.142,,,,0.142,26652,55029,Door,Door
1,1,2016,Single Year,ReportYear,RollingYearCount,2016,,,,,,,,,2016,0.095,,,,0.095,109301,55029,Door,Door
1,1,2018,Single Year,ReportYear,RollingYearCount,2018,,,,,,,,,2018,0.130,,,,0.13,63416,55029,Door,Door
1,1,2020,Single Year,ReportYear,RollingYearCount,2020,,,,,,,,,2020,0.176,,,,0.176,17800,55029,Door,Door
1,1,2010,Single Year,ReportYear,RollingYearCount,2010,,,,,,,,,2010,0.474,,,,0.474,69893,55031,Douglas,Douglas
1,1,2014,Single Year,ReportYear,RollingYearCount,2014,,,,,,,,,2014,0.765,,,,0.765,26712,55031,Douglas,Douglas
1,1,2016,Single Year,ReportYear,RollingYearCount,2016,,,,,,,,,2016,0.738,,,,0.738,92230,55031,Douglas,Douglas
1,1,2018,Single Year,ReportYear,RollingYearCount,2018,,,,,,,,,2018,0.668,,,,0.668,65745,55031,Douglas,Douglas
1,1,2020,Single Year,ReportYear,RollingYearCount,2020,,,,,,,,,2020,0.530,,,,0.53,17860,55031,Douglas,Douglas
1,1,2010,Single Year,ReportYear,RollingYearCount,2010,,,,,,,,,2010,0.443,,,,0.443,69953,55033,Dunn,Dunn
1,1,2014,Single Year,ReportYear,RollingYearCount,2014,,,,,,,,,2014,0.704,,,,0.704,26772,55033,Dunn,Dunn
1,1,2016,Single Year,ReportYear,RollingYearCount,2016,,,,,,,,,2016,0.658,,,,0.658,92290,55033,Dunn,Dunn
1,1,2018,Single Year,ReportYear,RollingYearCount,2018,,,,,,,,,2018,0.654,,,,0.654,63476,55033,Dunn,Dunn
1,1,2020,Single Year,ReportYear,RollingYearCount,2020,,,,,,,,,2020,0.738,,,,0.738,94283,55033,Dunn,Dunn
1,1,2010,Single Year,ReportYear,RollingYearCount,2010,,,,,,,,,2010,0.551,,,,0.551,70013,55035,Eau Claire,Eau Claire
1,1,2014,Single Year,ReportYear,RollingYearCount,2014,,,,,,,,,2014,0.490,,,,0.49,26832,55035,Eau Claire,Eau Claire
1,1,2016,Single Year,ReportYear,RollingYearCount,2016,,,,,,,,,2016,0.503,,,,0.503,92350,55035,Eau Claire,Eau Claire
1,1,2018,Single Year,ReportYear,RollingYearCount,2018,,,,,,,,,2018,0.590,,,,0.59,65805,55035,Eau Claire,Eau Claire
1,1,2020,Single Year,ReportYear,RollingYearCount,2020,,,,,,,,,2020,0.653,,,,0.653,94343,55035,Eau Claire,Eau Claire
1,1,2010,Single Year,ReportYear,RollingYearCount,2010,,,,,,,,,2010,0.095,,,,0.095,70073,55037,Florence,Florence
1,1,2014,Single Year,ReportYear,RollingYearCount,2014,,,,,,,,,2014,0.060,,,,0.06,26892,55037,Florence,Florence
1,1,2016,Single Year,ReportYear,RollingYearCount,2016,,,,,,,,,2016,0.153,,,,0.153,109361,55037,Florence,Florence
1,1,2018,Single Year,ReportYear,RollingYearCount,2018,,,,,,,,,2018,0.293,,,,0.293,63536,55037,Florence,Florence
1,1,2020,Single Year,ReportYear,RollingYearCount,2020,,,,,,,,,2020,0.260,,,,0.26,94403,55037,Florence,Florence
1,1,2010,Single Year,ReportYear,RollingYearCount,2010,,,,,,,,,2010,0.576,,,,0.576,70133,55039,Fond du Lac,Fond du Lac
1,1,2014,Single Year,ReportYear,RollingYearCount,2014,,,,,,,,,2014,0.504,,,,0.504,26952,55039,Fond du Lac,Fond du Lac
1,1,2016,Single Year,ReportYear,RollingYearCount,2016,,,,,,,,,2016,0.508,,,,0.508,92410,55039,Fond du Lac,Fond du Lac
1,1,2018,Single Year,ReportYear,RollingYearCount,2018,,,,,,,,,2018,0.542,,,,0.542,65865,55039,Fond du Lac,Fond du Lac
1,1,2020,Single Year,ReportYear,RollingYearCount,2020,,,,,,,,,2020,0.495,,,,0.495,94463,55039,Fond du Lac,Fond du Lac
1,1,2010,Single Year,ReportYear,RollingYearCount,2010,,,,,,,,,2010,0.432,,,,0.432,70193,55041,Forest,Forest
1,1,2014,Single Year,ReportYear,RollingYearCount,2014,,,,,,,,,2014,0.618,,,,0.618,27012,55041,Forest,Forest
1,1,2016,Single Year,ReportYear,RollingYearCount,2016,,,,,,,,,2016,0.540,,,,0.54,92470,55041,Forest,Forest
1,1,2018,Single Year,ReportYear,RollingYearCount,2018,,,,,,,,,2018,0.406,,,,0.406,65925,55041,Forest,Forest
1,1,2020,Single Year,ReportYear,RollingYearCount,2020,,,,,,,,,2020,0.395,,,,0.395,94523,55041,Forest,Forest
1,1,2010,Single Year,ReportYear,RollingYearCount,2010,,,,,,,,,2010,0.501,,,,0.501,70253,55043,Grant,Grant
1,1,2014,Single Year,ReportYear,RollingYearCount,2014,,,,,,,,,2014,0.678,,,,0.678,27072,55043,Grant,Grant
1,1,2016,Single Year,ReportYear,RollingYearCount,2016,,,,,,,,,2016,0.692,,,,0.692,92530,55043,Grant,Grant
1,1,2018,Single Year,ReportYear,RollingYearCount,2018,,,,,,,,,2018,0.662,,,,0.662,65985,55043,Grant,Grant
1,1,2020,Single Year,ReportYear,RollingYearCount,2020,,,,,,,,,2020,0.829,,,,0.829,94583,55043,Grant,Grant
1,1,2010,Single Year,ReportYear,RollingYearCount,2010,,,,,,,,,2010,0.118,,,,0.118,70313,55045,Green,Green
1,1,2014,Single Year,ReportYear,RollingYearCount,2014,,,,,,,,,2014,0.082,,,,0.082,27132,55045,Green,Green
1,1,2016,Single Year,ReportYear,RollingYearCount,2016,,,,,,,,,2016,0.086,,,,0.086,92590,55045,Green,Green
1,1,2018,Single Year,ReportYear,RollingYearCount,2018,,,,,,,,,2018,0.076,,,,0.076,66045,55045,Green,Green
1,1,2020,Single Year,ReportYear,RollingYearCount,2020,,,,,,,,,2020,0.151,,,,0.151,94643,55045,Green,Green
1,1,2010,Single Year,ReportYear,RollingYearCount,2010,,,,,,,,,2010,0.250,,,,0.25,70373,55047,Green Lake,Green Lake
1,1,2014,Single Year,ReportYear,RollingYearCount,2014,,,,,,,,,2014,0.434,,,,0.434,27192,55047,Green Lake,Green Lake
1,1,2016,Single Year,ReportYear,RollingYearCount,2016,,,,,,,,,2016,0.330,,,,0.33,92650,55047,Green Lake,Green Lake
1,1,2018,Single Year,ReportYear,RollingYearCount,2018,,,,,,,,,2018,0.427,,,,0.427,66105,55047,Green Lake,Green Lake
1,1,2020,Single Year,ReportYear,RollingYearCount,2020,,,,,,,,,2020,0.493,,,,0.493,94703,55047,Green Lake,Green Lake
1,1,2010,Single Year,ReportYear,RollingYearCount,2010,,,,,,,,,2010,0.055,,,,0.055,70433,55049,Iowa,Iowa
1,1,2014,Single Year,ReportYear,RollingYearCount,2014,,,,,,,,,2014,0.111,,,,0.111,90179,55049,Iowa,Iowa
1,1,2016,Single Year,ReportYear,RollingYearCount,2016,,,,,,,,,2016,0.096,,,,0.096,73055,55049,Iowa,Iowa
1,1,2018,Single Year,ReportYear,RollingYearCount,2018,,,,,,,,,2018,0.035,,,,0.035,66165,55049,Iowa,Iowa
1,1,2020,Single Year,ReportYear,RollingYearCount,2020,,,,,,,,,2020,0.029,,,,0.029,68783,55049,Iowa,Iowa
1,1,2010,Single Year,ReportYear,RollingYearCount,2010,,,,,,,,,2010,0.342,,,,0.342,70493,55051,Iron,Iron
1,1,2014,Single Year,ReportYear,RollingYearCount,2014,,,,,,,,,2014,0.274,,,,0.274,90239,55051,Iron,Iron
1,1,2016,Single Year,ReportYear,RollingYearCount,2016,,,,,,,,,2016,0.368,,,,0.368,109421,55051,Iron,Iron
1,1,2018,Single Year,ReportYear,RollingYearCount,2018,,,,,,,,,2018,0.526,,,,0.526,63596,55051,Iron,Iron
1,1,2020,Single Year,ReportYear,RollingYearCount,2020,,,,,,,,,2020,0.217,,,,0.217,68843,55051,Iron,Iron
1,1,2010,Single Year,ReportYear,RollingYearCount,2010,,,,,,,,,2010,0.917,,,,0.917,70553,55053,Jackson,Jackson
1,1,2014,Single Year,ReportYear,RollingYearCount,2014,,,,,,,,,2014,0.664,,,,0.664,90299,55053,Jackson,Jackson
1,1,2016,Single Year,ReportYear,RollingYearCount,2016,,,,,,,,,2016,0.722,,,,0.722,73115,55053,Jackson,Jackson
1,1,2018,Single Year,ReportYear,RollingYearCount,2018,,,,,,,,,2018,0.728,,,,0.728,66225,55053,Jackson,Jackson
1,1,2020,Single Year,ReportYear,RollingYearCount,2020,,,,,,,,,2020,0.729,,,,0.729,68903,55053,Jackson,Jackson
1,1,2010,Single Year,ReportYear,RollingYearCount,2010,,,,,,,,,2010,0.417,,,,0.417,70613,55055,Jefferson,Jefferson
1,1,2014,Single Year,ReportYear,RollingYearCount,2014,,,,,,,,,2014,0.325,,,,0.325,90359,55055,Jefferson,Jefferson
