OBJECTID,FIPS,COUNTY,TOPIC,YEAR,AGE,COUNTS,AADJ_RATE,LOWR_LIM,UPPR_LIM,STD_ERR,ST_RATE,ST_LOWR_LIM,ST_UPPR_LIM,NAME
41699,55123,Vernon,Female Breast,2009-2013,All Ages,115,62.1,50.9,75.1,6,68.4,67.5,69.3,Vernon
41700,55123,Vernon,Female Breast,2010-2014,All Ages,125,68,56.2,81.8,6.3,68.5,67.6,69.4,Vernon
41701,55123,Vernon,Female Breast,2011-2015,All Ages,122,66.9,55,80.7,6.4,69.2,68.3,70.1,Vernon
41702,55123,Vernon,Female Breast,2012-2016,All Ages,132,70.5,58.3,84.5,6.5,69.3,68.4,70.3,Vernon
41703,55123,Vernon,Female Breast,2013-2017,All Ages,127,68.4,56.2,82.4,6.5,69.7,68.8,70.6,Vernon
41704,55123,Vernon,Female Breast,2014-2018,All Ages,135,70,57.9,84,6.5,70.1,69.2,71,Vernon
41705,55123,Vernon,Female Breast,2015-2019,All Ages,118,59.6,48.6,72.5,5.9,71,70.1,71.9,Vernon
41706,55123,Vernon,Female Breast,2016-2020,All Ages,124,61.3,50.3,74.2,5.9,70.2,69.3,71.1,Vernon
42049,55125,Vilas,Female Breast,1999-2003,All Ages,168,101.1,85.7,118.9,8.2,73.3,72.3,74.4,Vilas
42050,55125,Vilas,Female Breast,2000-2004,All Ages,147,86.8,72.7,103.3,7.5,70.9,69.9,71.9,Vilas
42051,55125,Vilas,Female Breast,2001-2005,All Ages,140,81.3,67.6,97.3,7.3,68.9,68,69.9,Vilas
42052,55125,Vilas,Female Breast,2002-2006,All Ages,132,75.2,62.2,90.5,6.9,67.1,66.1,68,Vilas
42053,55125,Vilas,Female Breast,2003-2007,All Ages,145,81.6,68.3,97.3,7.1,66.4,65.5,67.4,Vilas
42054,55125,Vilas,Female Breast,2004-2008,All Ages,147,81.3,68.1,96.8,7,66.4,65.5,67.3,Vilas
42055,55125,Vilas,Female Breast,2005-2009,All Ages,159,85.9,72.5,101.6,7.1,67.2,66.2,68.1,Vilas
42056,55125,Vilas,Female Breast,2006-2010,All Ages,154,83.5,70.2,99.2,7.1,67,66.1,67.9,Vilas
42057,55125,Vilas,Female Breast,2007-2011,All Ages,155,83.6,70.2,99.5,7.2,67.5,66.6,68.4,Vilas
42058,55125,Vilas,Female Breast,2008-2012,All Ages,138,72.8,60.3,87.7,6.7,67.9,66.9,68.8,Vilas
42059,55125,Vilas,Female Breast,2009-2013,All Ages,130,68.2,55.9,83,6.6,68.4,67.5,69.3,Vilas
42060,55125,Vilas,Female Breast,2010-2014,All Ages,141,75.2,61.8,91.1,7.1,68.5,67.6,69.4,Vilas
42061,55125,Vilas,Female Breast,2011-2015,All Ages,143,77.1,63.4,93.5,7.4,69.2,68.3,70.1,Vilas
42062,55125,Vilas,Female Breast,2012-2016,All Ages,142,76,62.1,92.6,7.5,69.3,68.4,70.3,Vilas
42063,55125,Vilas,Female Breast,2013-2017,All Ages,159,83.1,68.5,100.4,7.8,69.7,68.8,70.6,Vilas
42064,55125,Vilas,Female Breast,2014-2018,All Ages,159,82.4,67.8,99.7,7.8,70.1,69.2,71,Vilas
42065,55125,Vilas,Female Breast,2015-2019,All Ages,142,71.7,58.3,87.8,7.2,71,70.1,71.9,Vilas
42066,55125,Vilas,Female Breast,2016-2020,All Ages,140,70.5,57,86.7,7.3,70.2,69.3,71.1,Vilas
42409,55127,Walworth,Female Breast,1999-2003,All Ages,309,64.5,57.5,72.1,3.7,73.3,72.3,74.4,Walworth
42410,55127,Walworth,Female Breast,2000-2004,All Ages,321,65.6,58.6,73.2,3.7,70.9,69.9,71.9,Walworth
42411,55127,Walworth,Female Breast,2001-2005,All Ages,342,68.3,61.2,76,3.7,68.9,68,69.9,Walworth
42412,55127,Walworth,Female Breast,2002-2006,All Ages,350,68.8,61.8,76.4,3.7,67.1,66.1,68,Walworth
42413,55127,Walworth,Female Breast,2003-2007,All Ages,349,67.1,60.2,74.6,3.6,66.4,65.5,67.4,Walworth
42414,55127,Walworth,Female Breast,2004-2008,All Ages,362,68.1,61.2,75.6,3.6,66.4,65.5,67.3,Walworth
42415,55127,Walworth,Female Breast,2005-2009,All Ages,369,68.2,61.4,75.6,3.6,67.2,66.2,68.1,Walworth
42416,55127,Walworth,Female Breast,2006-2010,All Ages,370,67.6,60.8,75,3.6,67,66.1,67.9,Walworth
42417,55127,Walworth,Female Breast,2007-2011,All Ages,366,65.5,58.9,72.7,3.5,67.5,66.6,68.4,Walworth
42418,55127,Walworth,Female Breast,2008-2012,All Ages,390,68.8,62,76.1,3.6,67.9,66.9,68.8,Walworth
42419,55127,Walworth,Female Breast,2009-2013,All Ages,408,70.9,64,78.3,3.6,68.4,67.5,69.3,Walworth
42420,55127,Walworth,Female Breast,2010-2014,All Ages,398,67.9,61.2,75.2,3.5,68.5,67.6,69.4,Walworth
42421,55127,Walworth,Female Breast,2011-2015,All Ages,405,67.9,61.3,75.1,3.5,69.2,68.3,70.1,Walworth
42422,55127,Walworth,Female Breast,2012-2016,All Ages,418,69.4,62.7,76.7,3.5,69.3,68.4,70.3,Walworth
42423,55127,Walworth,Female Breast,2013-2017,All Ages,425,69.2,62.5,76.4,3.5,69.7,68.8,70.6,Walworth
42424,55127,Walworth,Female Breast,2014-2018,All Ages,445,71.2,64.5,78.4,3.5,70.1,69.2,71,Walworth
42425,55127,Walworth,Female Breast,2015-2019,All Ages,484,75.2,68.4,82.5,3.6,71,70.1,71.9,Walworth
42426,55127,Walworth,Female Breast,2016-2020,All Ages,484,74,67.3,81.3,3.5,70.2,69.3,71.1,Walworth
42769,55129,Washburn,Female Breast,1999-2003,All Ages,45,40.8,29.6,55.5,6.2,73.3,72.3,74.4,Washburn
42770,55129,Washburn,Female Breast,2000-2004,All Ages,44,40.3,29.1,55,6.2,70.9,69.9,71.9,Washburn
42771,55129,Washburn,Female Breast,2001-2005,All Ages,48,42.4,31,57.1,6.3,68.9,68,69.9,Washburn
42772,55129,Washburn,Female Breast,2002-2006,All Ages,57,49.9,37.5,65.6,6.8,67.1,66.1,68,Washburn
42773,55129,Washburn,Female Breast,2003-2007,All Ages,59,51.3,38.8,67.1,6.8,66.4,65.5,67.4,Washburn
42774,55129,Washburn,Female Breast,2004-2008,All Ages,57,47.7,36,62.7,6.4,66.4,65.5,67.3,Washburn
42775,55129,Washburn,Female Breast,2005-2009,All Ages,66,56.1,43,72.6,7.2,67.2,66.2,68.1,Washburn
42776,55129,Washburn,Female Breast,2006-2010,All Ages,64,54,41.1,70.2,7,67,66.1,67.9,Washburn
42777,55129,Washburn,Female Breast,2007-2011,All Ages,57,48.6,36.3,64.3,6.8,67.5,66.6,68.4,Washburn
42778,55129,Washburn,Female Breast,2008-2012,All Ages,60,48.9,36.7,64.5,6.7,67.9,66.9,68.8,Washburn
42779,55129,Washburn,Female Breast,2009-2013,All Ages,69,57.1,43.6,74.1,7.4,68.4,67.5,69.3,Washburn
42780,55129,Washburn,Female Breast,2010-2014,All Ages,70,56.9,43.5,73.7,7.3,68.5,67.6,69.4,Washburn
42781,55129,Washburn,Female Breast,2011-2015,All Ages,73,58.2,44.6,75.3,7.4,69.2,68.3,70.1,Washburn
42782,55129,Washburn,Female Breast,2012-2016,All Ages,73,59,45,76.5,7.6,69.3,68.4,70.3,Washburn
42783,55129,Washburn,Female Breast,2013-2017,All Ages,67,55.6,41.7,73.1,7.6,69.7,68.8,70.6,Washburn
42784,55129,Washburn,Female Breast,2014-2018,All Ages,68,57.2,42.9,75.2,7.8,70.1,69.2,71,Washburn
42785,55129,Washburn,Female Breast,2015-2019,All Ages,67,55.1,41.3,72.7,7.6,71,70.1,71.9,Washburn
42786,55129,Washburn,Female Breast,2016-2020,All Ages,66,58,43,76.8,8.2,70.2,69.3,71.1,Washburn
43129,55131,Washington,Female Breast,1999-2003,All Ages,431,72.8,66.1,80.1,3.5,73.3,72.3,74.4,Washington
43130,55131,Washington,Female Breast,2000-2004,All Ages,414,67.7,61.3,74.6,3.3,70.9,69.9,71.9,Washington
43131,55131,Washington,Female Breast,2001-2005,All Ages,420,66.2,59.9,72.9,3.2,68.9,68,69.9,Washington
43132,55131,Washington,Female Breast,2002-2006,All Ages,449,68.9,62.6,75.6,3.3,67.1,66.1,68,Washington
43133,55131,Washington,Female Breast,2003-2007,All Ages,463,68.5,62.4,75.2,3.2,66.4,65.5,67.4,Washington
43134,55131,Washington,Female Breast,2004-2008,All Ages,479,68.6,62.5,75.1,3.2,66.4,65.5,67.3,Washington
43135,55131,Washington,Female Breast,2005-2009,All Ages,515,71.5,65.4,78,3.2,67.2,66.2,68.1,Washington
43136,55131,Washington,Female Breast,2006-2010,All Ages,548,74,67.9,80.6,3.2,67,66.1,67.9,Washington
43137,55131,Washington,Female Breast,2007-2011,All Ages,553,72.5,66.5,78.9,3.1,67.5,66.6,68.4,Washington
43138,55131,Washington,Female Breast,2008-2012,All Ages,533,68.3,62.5,74.4,3,67.9,66.9,68.8,Washington
43139,55131,Washington,Female Breast,2009-2013,All Ages,552,69.5,63.7,75.7,3,68.4,67.5,69.3,Washington
43140,55131,Washington,Female Breast,2010-2014,All Ages,575,71.6,65.7,77.9,3.1,68.5,67.6,69.4,Washington
43141,55131,Washington,Female Breast,2011-2015,All Ages,586,71.3,65.5,77.5,3,69.2,68.3,70.1,Washington
43142,55131,Washington,Female Breast,2012-2016,All Ages,609,73.3,67.5,79.6,3.1,69.3,68.4,70.3,Washington
43143,55131,Washington,Female Breast,2013-2017,All Ages,664,79,72.9,85.4,3.2,69.7,68.8,70.6,Washington
43144,55131,Washington,Female Breast,2014-2018,All Ages,685,79.8,73.8,86.3,3.2,70.1,69.2,71,Washington
43145,55131,Washington,Female Breast,2015-2019,All Ages,713,80.6,74.6,87,3.1,71,70.1,71.9,Washington
43146,55131,Washington,Female Breast,2016-2020,All Ages,703,78.6,72.7,84.9,3.1,70.2,69.3,71.1,Washington
43489,55133,Waukesha,Female Breast,1999-2003,All Ages,1603,83.4,79.3,87.6,2.1,73.3,72.3,74.4,Waukesha
43490,55133,Waukesha,Female Breast,2000-2004,All Ages,1596,80.9,77,85,2,70.9,69.9,71.9,Waukesha
43491,55133,Waukesha,Female Breast,2001-2005,All Ages,1595,79.1,75.2,83.1,2,68.9,68,69.9,Waukesha
43492,55133,Waukesha,Female Breast,2002-2006,All Ages,1580,76.3,72.6,80.2,1.9,67.1,66.1,68,Waukesha
43493,55133,Waukesha,Female Breast,2003-2007,All Ages,1618,76.6,72.8,80.4,1.9,66.4,65.5,67.4,Waukesha
43494,55133,Waukesha,Female Breast,2004-2008,All Ages,1624,75.2,71.5,79,1.9,66.4,65.5,67.3,Waukesha
43495,55133,Waukesha,Female Breast,2005-2009,All Ages,1655,74.9,71.3,78.7,1.9,67.2,66.2,68.1,Waukesha
43496,55133,Waukesha,Female Breast,2006-2010,All Ages,1679,74.6,71,78.3,1.9,67,66.1,67.9,Waukesha
43497,55133,Waukesha,Female Breast,2007-2011,All Ages,1723,75.5,71.9,79.3,1.9,67.5,66.6,68.4,Waukesha
43498,55133,Waukesha,Female Breast,2008-2012,All Ages,1773,76.2,72.6,79.9,1.9,67.9,66.9,68.8,Waukesha
43499,55133,Waukesha,Female Breast,2009-2013,All Ages,1847,77.8,74.2,81.6,1.9,68.4,67.5,69.3,Waukesha
43500,55133,Waukesha,Female Breast,2010-2014,All Ages,1921,79.6,76,83.3,1.9,68.5,67.6,69.4,Waukesha
43501,55133,Waukesha,Female Breast,2011-2015,All Ages,1976,80.2,76.6,84,1.9,69.2,68.3,70.1,Waukesha
43502,55133,Waukesha,Female Breast,2012-2016,All Ages,1987,79,75.4,82.7,1.8,69.3,68.4,70.3,Waukesha
43503,55133,Waukesha,Female Breast,2013-2017,All Ages,2020,79,75.4,82.6,1.8,69.7,68.8,70.6,Waukesha
43504,55133,Waukesha,Female Breast,2014-2018,All Ages,2065,79.8,76.2,83.4,1.8,70.1,69.2,71,Waukesha
43505,55133,Waukesha,Female Breast,2015-2019,All Ages,2097,80.5,76.9,84.2,1.8,71,70.1,71.9,Waukesha
43506,55133,Waukesha,Female Breast,2016-2020,All Ages,2114,80,76.4,83.6,1.8,70.2,69.3,71.1,Waukesha
43849,55135,Waupaca,Female Breast,1999-2003,All Ages,232,76.6,67,87.3,5.1,73.3,72.3,74.4,Waupaca
43850,55135,Waupaca,Female Breast,2000-2004,All Ages,209,68.6,59.5,78.7,4.8,70.9,69.9,71.9,Waupaca
43851,55135,Waupaca,Female Breast,2001-2005,All Ages,195,63.4,54.8,73.2,4.6,68.9,68,69.9,Waupaca
43852,55135,Waupaca,Female Breast,2002-2006,All Ages,181,57.6,49.5,66.9,4.3,67.1,66.1,68,Waupaca
43853,55135,Waupaca,Female Breast,2003-2007,All Ages,180,56.6,48.5,65.7,4.3,66.4,65.5,67.4,Waupaca
43854,55135,Waupaca,Female Breast,2004-2008,All Ages,169,52,44.3,60.7,4.1,66.4,65.5,67.3,Waupaca
43855,55135,Waupaca,Female Breast,2005-2009,All Ages,192,58.2,50.1,67.3,4.3,67.2,66.2,68.1,Waupaca
43856,55135,Waupaca,Female Breast,2006-2010,All Ages,195,58.6,50.5,67.7,4.3,67,66.1,67.9,Waupaca
43857,55135,Waupaca,Female Breast,2007-2011,All Ages,207,61.4,53.1,70.7,4.4,67.5,66.6,68.4,Waupaca
43858,55135,Waupaca,Female Breast,2008-2012,All Ages,214,64.1,55.5,73.6,4.5,67.9,66.9,68.8,Waupaca
43859,55135,Waupaca,Female Breast,2009-2013,All Ages,226,67,58.3,76.8,4.6,68.4,67.5,69.3,Waupaca
43860,55135,Waupaca,Female Breast,2010-2014,All Ages,219,63.5,55,73,4.5,68.5,67.6,69.4,Waupaca
43861,55135,Waupaca,Female Breast,2011-2015,All Ages,229,64.9,56.5,74.4,4.5,69.2,68.3,70.1,Waupaca
43862,55135,Waupaca,Female Breast,2012-2016,All Ages,225,64.2,55.7,73.7,4.5,69.3,68.4,70.3,Waupaca
43863,55135,Waupaca,Female Breast,2013-2017,All Ages,223,60.8,52.8,69.9,4.3,69.7,68.8,70.6,Waupaca
43864,55135,Waupaca,Female Breast,2014-2018,All Ages,231,63,54.8,72.3,4.4,70.1,69.2,71,Waupaca
43865,55135,Waupaca,Female Breast,2015-2019,All Ages,242,65.5,57.1,74.9,4.4,71,70.1,71.9,Waupaca
43866,55135,Waupaca,Female Breast,2016-2020,All Ages,252,67.6,59,77.1,4.5,70.2,69.3,71.1,Waupaca
44209,55137,Waushara,Female Breast,1999-2003,All Ages,104,65,52.9,79.3,6.5,73.3,72.3,74.4,Waushara
44210,55137,Waushara,Female Breast,2000-2004,All Ages,94,56.9,45.8,70.2,6,70.9,69.9,71.9,Waushara
44211,55137,Waushara,Female Breast,2001-2005,All Ages,88,52.8,42.2,65.6,5.7,68.9,68,69.9,Waushara
44212,55137,Waushara,Female Breast,2002-2006,All Ages,92,54.8,44,67.8,5.8,67.1,66.1,68,Waushara
44213,55137,Waushara,Female Breast,2003-2007,All Ages,95,56.9,45.8,70.2,6,66.4,65.5,67.4,Waushara
44214,55137,Waushara,Female Breast,2004-2008,All Ages,99,59.5,48.1,73.1,6.2,66.4,65.5,67.3,Waushara
44215,55137,Waushara,Female Breast,2005-2009,All Ages,106,64.2,52.2,78.4,6.4,67.2,66.2,68.1,Waushara
44216,55137,Waushara,Female Breast,2006-2010,All Ages,102,61.1,49.4,75,6.3,67,66.1,67.9,Waushara
44217,55137,Waushara,Female Breast,2007-2011,All Ages,105,61.7,50,75.5,6.3,67.5,66.6,68.4,Waushara
44218,55137,Waushara,Female Breast,2008-2012,All Ages,97,56,45,69.2,5.9,67.9,66.9,68.8,Waushara
44219,55137,Waushara,Female Breast,2009-2013,All Ages,89,51,40.5,63.7,5.7,68.4,67.5,69.3,Waushara
44220,55137,Waushara,Female Breast,2010-2014,All Ages,80,46.6,36.5,59,5.5,68.5,67.6,69.4,Waushara
44221,55137,Waushara,Female Breast,2011-2015,All Ages,88,49.6,39.2,62.3,5.6,69.2,68.3,70.1,Waushara
44222,55137,Waushara,Female Breast,2012-2016,All Ages,84,46.2,36.3,58.4,5.4,69.3,68.4,70.3,Waushara
44223,55137,Waushara,Female Breast,2013-2017,All Ages,79,43.4,33.7,55.3,5.3,69.7,68.8,70.6,Waushara
44224,55137,Waushara,Female Breast,2014-2018,All Ages,94,52.6,41.5,65.9,6,70.1,69.2,71,Waushara
44225,55137,Waushara,Female Breast,2015-2019,All Ages,102,55.7,44.4,69.2,6.1,71,70.1,71.9,Waushara
44226,55137,Waushara,Female Breast,2016-2020,All Ages,104,57.3,45.7,71.2,6.2,70.2,69.3,71.1,Waushara
44569,55139,Winnebago,Female Breast,1999-2003,All Ages,600,75.9,69.9,82.2,3.1,73.3,72.3,74.4,Winnebago
44570,55139,Winnebago,Female Breast,2000-2004,All Ages,581,72.3,66.5,78.4,3,70.9,69.9,71.9,Winnebago
44571,55139,Winnebago,Female Breast,2001-2005,All Ages,576,70.5,64.9,76.6,2.9,68.9,68,69.9,Winnebago
44572,55139,Winnebago,Female Breast,2002-2006,All Ages,579,69.7,64.1,75.7,2.9,67.1,66.1,68,Winnebago
44573,55139,Winnebago,Female Breast,2003-2007,All Ages,623,73.4,67.7,79.4,3,66.4,65.5,67.4,Winnebago
44574,55139,Winnebago,Female Breast,2004-2008,All Ages,622,72.1,66.5,78,2.9,66.4,65.5,67.3,Winnebago
44575,55139,Winnebago,Female Breast,2005-2009,All Ages,653,74.6,69,80.6,2.9,67.2,66.2,68.1,Winnebago
44576,55139,Winnebago,Female Breast,2006-2010,All Ages,678,76.4,70.7,82.5,3,67,66.1,67.9,Winnebago
44577,55139,Winnebago,Female Breast,2007-2011,All Ages,664,73.8,68.2,79.7,2.9,67.5,66.6,68.4,Winnebago
44578,55139,Winnebago,Female Breast,2008-2012,All Ages,657,72.4,66.9,78.3,2.9,67.9,66.9,68.8,Winnebago
44579,55139,Winnebago,Female Breast,2009-2013,All Ages,669,73,67.5,78.9,2.9,68.4,67.5,69.3,Winnebago
44580,55139,Winnebago,Female Breast,2010-2014,All Ages,659,70.6,65.2,76.3,2.8,68.5,67.6,69.4,Winnebago
44581,55139,Winnebago,Female Breast,2011-2015,All Ages,660,69.6,64.3,75.3,2.8,69.2,68.3,70.1,Winnebago
44582,55139,Winnebago,Female Breast,2012-2016,All Ages,669,69.6,64.3,75.3,2.8,69.3,68.4,70.3,Winnebago
44583,55139,Winnebago,Female Breast,2013-2017,All Ages,673,68.7,63.5,74.3,2.7,69.7,68.8,70.6,Winnebago
44584,55139,Winnebago,Female Breast,2014-2018,All Ages,680,68.4,63.2,73.9,2.7,70.1,69.2,71,Winnebago
44585,55139,Winnebago,Female Breast,2015-2019,All Ages,725,71.9,66.6,77.5,2.8,71,70.1,71.9,Winnebago
44586,55139,Winnebago,Female Breast,2016-2020,All Ages,706,69.1,63.9,74.6,2.7,70.2,69.3,71.1,Winnebago
44929,55141,Wood,Female Breast,1999-2003,All Ages,358,83.1,74.7,92.3,4.4,73.3,72.3,74.4,Wood
44930,55141,Wood,Female Breast,2000-2004,All Ages,331,75.8,67.8,84.5,4.2,70.9,69.9,71.9,Wood
44931,55141,Wood,Female Breast,2001-2005,All Ages,324,73.6,65.7,82.2,4.1,68.9,68,69.9,Wood
44932,55141,Wood,Female Breast,2002-2006,All Ages,312,69.8,62.2,78.1,4,67.1,66.1,68,Wood
44933,55141,Wood,Female Breast,2003-2007,All Ages,290,64.1,56.8,72,3.8,66.4,65.5,67.4,Wood
44934,55141,Wood,Female Breast,2004-2008,All Ages,281,61,54,68.7,3.7,66.4,65.5,67.3,Wood
44935,55141,Wood,Female Breast,2005-2009,All Ages,297,64.4,57.2,72.4,3.8,67.2,66.2,68.1,Wood
44936,55141,Wood,Female Breast,2006-2010,All Ages,277,59.4,52.5,67.1,3.6,67,66.1,67.9,Wood
44937,55141,Wood,Female Breast,2007-2011,All Ages,294,62.5,55.4,70.3,3.7,67.5,66.6,68.4,Wood
44938,55141,Wood,Female Breast,2008-2012,All Ages,316,66.2,58.9,74.2,3.8,67.9,66.9,68.8,Wood
44939,55141,Wood,Female Breast,2009-2013,All Ages,330,68.4,61,76.5,3.9,68.4,67.5,69.3,Wood
44940,55141,Wood,Female Breast,2010-2014,All Ages,331,67.9,60.5,76,3.9,68.5,67.6,69.4,Wood
44941,55141,Wood,Female Breast,2011-2015,All Ages,341,69.5,62,77.6,3.9,69.2,68.3,70.1,Wood
44942,55141,Wood,Female Breast,2012-2016,All Ages,310,62.5,55.4,70.3,3.7,69.3,68.4,70.3,Wood
44943,55141,Wood,Female Breast,2013-2017,All Ages,312,61.5,54.6,69.1,3.6,69.7,68.8,70.6,Wood
44944,55141,Wood,Female Breast,2014-2018,All Ages,321,63.4,56.3,71.2,3.7,70.1,69.2,71,Wood
44945,55141,Wood,Female Breast,2015-2019,All Ages,316,60.3,53.5,67.8,3.6,71,70.1,71.9,Wood
44946,55141,Wood,Female Breast,2016-2020,All Ages,329,64.5,57.3,72.4,3.8,70.2,69.3,71.1,Wood
